Step: 106, Loss: 8.000056, Tokens/sec: 12337.04
Step: 107, Loss: 7.948345, Tokens/sec: 12378.28
Step: 108, Loss: 7.889035, Tokens/sec: 12341.06
Step: 109, Loss: 7.642665, Tokens/sec: 12392.27
Step: 110, Loss: 7.820904, Tokens/sec: 12434.71
Step: 111, Loss: 7.820880, Tokens/sec: 12288.03
Step: 112, Loss: 7.986450, Tokens/sec: 12458.33
Step: 113, Loss: 8.007496, Tokens/sec: 12379.91
Step: 114, Loss: 7.755636, Tokens/sec: 12340.90
Step: 115, Loss: 7.927308, Tokens/sec: 12452.57
Step: 116, Loss: 7.595642, Tokens/sec: 12383.98
Step: 117, Loss: 7.638191, Tokens/sec: 12373.58
Step: 118, Loss: 7.705792, Tokens/sec: 12416.50
Step: 119, Loss: 7.583234, Tokens/sec: 12345.05
Step: 120, Loss: 7.528045, Tokens/sec: 12363.28
Step: 121, Loss: 7.703067, Tokens/sec: 12440.87
Step: 122, Loss: 7.546786, Tokens/sec: 12391.75
Step: 123, Loss: 7.574355, Tokens/sec: 12300.42
Step: 124, Loss: 7.366111, Tokens/sec: 12340.12
Step: 125, Loss: 7.572988, Tokens/sec: 12380.96
Step: 126, Loss: 7.464455, Tokens/sec: 12431.04
Step: 127, Loss: 7.282201, Tokens/sec: 12377.52
Step: 128, Loss: 7.081569, Tokens/sec: 12266.10
Step: 129, Loss: 7.371881, Tokens/sec: 12352.54
Step: 130, Loss: 7.277100, Tokens/sec: 12241.62
Step: 131, Loss: 7.368891, Tokens/sec: 12307.17
Step: 132, Loss: 7.606834, Tokens/sec: 12370.71
Step: 133, Loss: 7.257108, Tokens/sec: 12395.48
Step: 134, Loss: 7.491159, Tokens/sec: 12391.16
Step: 135, Loss: 7.150609, Tokens/sec: 12350.66
Step: 136, Loss: 7.234989, Tokens/sec: 12291.92
Step: 137, Loss: 7.211757, Tokens/sec: 12420.72
Step: 138, Loss: 7.119080, Tokens/sec: 12138.73
Step: 139, Loss: 7.118532, Tokens/sec: 12325.04
Step: 140, Loss: 6.964597, Tokens/sec: 12475.96
Step: 141, Loss: 6.907233, Tokens/sec: 12341.65
Step: 142, Loss: 7.516472, Tokens/sec: 12333.94
Step: 143, Loss: 7.169988, Tokens/sec: 12375.04
Step: 144, Loss: 7.135648, Tokens/sec: 12171.06
Step: 145, Loss: 7.182192, Tokens/sec: 12328.38
Step: 146, Loss: 6.891340, Tokens/sec: 12372.72
Step: 147, Loss: 6.953039, Tokens/sec: 12365.81
Step: 148, Loss: 6.846559, Tokens/sec: 12344.20
Step: 149, Loss: 6.997091, Tokens/sec: 12339.36
Step: 150, Loss: 7.054122, Tokens/sec: 12282.53
Step: 151, Loss: 6.937774, Tokens/sec: 12380.05
Step: 152, Loss: 6.856217, Tokens/sec: 12326.79
Step: 153, Loss: 6.714352, Tokens/sec: 12385.98
Step: 154, Loss: 6.546775, Tokens/sec: 12367.20
Step: 155, Loss: 6.566452, Tokens/sec: 12419.59
Step: 156, Loss: 6.562279, Tokens/sec: 12355.08
Step: 157, Loss: 6.530758, Tokens/sec: 12283.13
Step: 158, Loss: 6.273250, Tokens/sec: 12359.17
Step: 159, Loss: 6.762264, Tokens/sec: 12191.41
Step: 160, Loss: 7.108469, Tokens/sec: 12402.18
Step: 161, Loss: 7.071511, Tokens/sec: 12227.33
Step: 162, Loss: 7.141525, Tokens/sec: 12355.44
Step: 163, Loss: 6.717134, Tokens/sec: 12182.59
Step: 164, Loss: 6.734115, Tokens/sec: 12326.06
Step: 165, Loss: 6.868693, Tokens/sec: 12249.08
Step: 166, Loss: 7.077560, Tokens/sec: 12410.56
Step: 167, Loss: 6.992432, Tokens/sec: 12389.78
Step: 168, Loss: 6.869406, Tokens/sec: 12420.22
Step: 169, Loss: 6.877235, Tokens/sec: 12299.77
Step: 170, Loss: 6.874666, Tokens/sec: 12229.93
